index_ric,tr_indexname,tr_indexjlconstituentchangedate,tr_indexjlconstituentric,tr_indexjlconstituentname,tr_indexjlconstituentcomname,constituent_ric
.SPX,S&P 500,1995-01-18T00:00:00Z,E.N^E95,Transco Energy,Transco Energy Company LLC,E.N
.SPX,S&P 500,1995-02-09T00:00:00Z,PT.N^E95,Pet,Pet Inc,PT.N
.SPX,S&P 500,1995-02-24T00:00:00Z,NEC.N^F97,Natl Education,National Education Corp,NEC.N
.SPX,S&P 500,1995-03-16T00:00:00Z,LK.N^C95,Lockheed,Lockheed Aircraft Corp,LK.N
.SPX,S&P 500,1995-03-16T00:00:00Z,ML.N^C95,Martin Maretta,Martin Marietta Corp,ML.N
.SPX,S&P 500,1995-03-31T00:00:00Z,MXS.N^F95,Maxus Energy,Maxus Energy Corp,MXS.N
.SPX,S&P 500,1995-04-03T00:00:00Z,SK.N^F00,Safety-Kleen Sys,Safety-Kleen Systems Inc,SK.N
.SPX,S&P 500,1995-05-01T00:00:00Z,ESY.N^E95,E-Systems Inc,E Systems Inc,ESY.N
.SPX,S&P 500,1995-05-10T00:00:00Z,CIC.N^E95,Continental Corp,Continental Corp (Delaware),CIC.N
.SPX,S&P 500,1995-05-22T00:00:00Z,CKL.N^E95,Clark Equipment,Clark Equipment Co,CKL.N
.SPX,S&P 500,1995-05-30T00:00:00Z,GOSHA.OQ^G05,Oshkosh B'Gosh,Oshkosh B'Gosh Inc,GOSHA.OQ
.SPX,S&P 500,1995-05-30T00:00:00Z,HMX.N^K08,XMH,XMH Corp 1,HMX.N
.SPX,S&P 500,1995-07-03T00:00:00Z,HET.N^A08,HARRAH S,Harrah S,HET.N
.SPX,S&P 500,1995-07-03T00:00:00Z,MAI.N^G95,M/A-COM,M/A-Com Inc,MAI.N
.SPX,S&P 500,1995-07-05T00:00:00Z,LOTS.O^H95,Lotus Dev Corp,Lotus Development Corp,LOTS.O
.SPX,S&P 500,1995-07-13T00:00:00Z,SPXC.N,SPX,SPX Corp,SPXC.N
.SPX,S&P 500,1995-07-31T00:00:00Z,SKY.N,Skyline Champion,Skyline Champion Corp,SKY.N
.SPX,S&P 500,1995-08-18T00:00:00Z,BRNO.O^H95,Bruno's,Bruno's Inc,BRNO.O
.SPX,S&P 500,1995-09-22T00:00:00Z,SFX.N^I95,Santa Fe Pac,Santa Fe Pacific Corp,SFX.N
.SPX,S&P 500,1995-10-23T00:00:00Z,FRM.N^L96,First Mississipp,First Mississippi Corp,FRM.N
.SPX,S&P 500,1995-11-01T00:00:00Z,BSET.OQ,Bassett Furn Ind,Bassett Furniture Industries Inc,BSET.OQ
.SPX,S&P 500,1995-11-03T00:00:00Z,UPJ.N^K95,Pharmacia & Upjo,Pharmacia & Upjohn Company LLC,UPJ.N
.SPX,S&P 500,1995-11-08T00:00:00Z,ZE.N^E98,ZTAC,ZTAC Inc,ZE.N
.SPX,S&P 500,1995-11-13T00:00:00Z,FCXb.N^K95,Freeport Mcmoran,Freeport-McMoRan Inc,FCXb.N
.SPX,S&P 500,1995-12-01T00:00:00Z,SNC.N^K95,Shawmut,Shawmut National Corp,SNC.N
.SPX,S&P 500,1995-12-01T00:00:00Z,FNB.N^L95,FIRST CHICAGO,First Chicago Corp,FNB.N
.SPX,S&P 500,1995-12-13T00:00:00Z,SPP.N^L95,Kimberly-Clrk,Kimberly Clark Tissue Co,SPP.N
.SPX,S&P 500,1995-12-20T00:00:00Z,MRN.N^G96,Morrison Knudsen,MORRISON KNUDSEN CORP-NON-CORE,MRN.N
.SPX,S&P 500,1995-12-20T00:00:00Z,ZRN.N^F98,Zurn Industry,Zurn Industries Inc,ZRN.N
.SPX,S&P 500,1996-01-02T00:00:00Z,FFB.N^A96,Fst Fidelty Banc,First Fidelity BanCorp,FFB.N
.SPX,S&P 500,1996-01-22T00:00:00Z,PZS.N^L99,Cox Comm,Cox Communications Inc,PZS.N
.SPX,S&P 500,1996-02-12T00:00:00Z,CCB.N^B96,AB,ABC Inc,CCB.N
.SPX,S&P 500,1996-02-29T00:00:00Z,BNET.O^B96,Nortel Ntwrks NA,Nortel Networks NA Inc,BNET.O
.SPX,S&P 500,1996-03-08T00:00:00Z,HDL.N^C08,Handleman,Handleman Co,HDL.N
.SPX,S&P 500,1996-03-13T00:00:00Z,FBO.N^C96,Federal Paper,Federal Paper Board Company Inc,FBO.N
.SPX,S&P 500,1996-03-28T00:00:00Z,CYR.N^G96,Cray Research,Cray Research Inc,CYR.N
.SPX,S&P 500,1996-04-01T00:00:00Z,I.N^D96,First Interstat,First Interstate Bancorp,I.N
.SPX,S&P 500,1996-04-23T00:00:00Z,LOR.N^D96,LMTS,Lockheed Martin Tactical Systems Inc,LOR.N
.SPX,S&P 500,1996-05-31T00:00:00Z,PMI.N^K99,Premark Intl,Premark International LLC,PMI.N
.SPX,S&P 500,1996-07-01T00:00:00Z,SMS^G00,Siemens Medical,Siemens Medical Solutions Health Services Corp,SMS
