,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
10_Labor Force,-5.960464477539063e-08,3.769728732309794e-08,-5.960464477539063e-08,3.264680847556389e-08,2.4586915969848633e-05,2.5163673456836182e-05,2.9623508453369142e-06,5.445288011307548e-06,2.9802322387695312e-08,0.0,0.0,0.0,0.0,0.0,-1.1920928955078126e-08,2.384185791015625e-08,1.710653305053711e-06,2.011566248376279e-06,2.9802322387695312e-08,1.7681595056285055e-07,0.0,0.0,0.0,0.0
10_Labor Force_sft_1,-2.384185791015625e-08,2.920019319991086e-08,1.259446144104004e-05,3.0347151009261766e-05,6.794929504394531e-07,6.14361702286011e-07,3.993511199951172e-07,1.8905105027143604e-07,5.960464477539063e-09,1.1920928955078126e-08,5.960464477539063e-09,1.1920928955078126e-08,0.0,0.0,0.0,0.0,-1.0013580322265625e-06,1.1256601888140962e-06,0.0,4.2146848510894035e-08,0.0,0.0,0.0,0.0
10_Labor Force_sft_2,3.5762786865234374e-08,7.237486475305815e-07,-4.82797622680664e-07,5.262114633165179e-07,,,,,0.0,0.0,0.0,0.0,5.960464477539063e-09,1.1920928955078127e-08,0.0,0.0,-4.1723251342773435e-08,6.233175498200117e-07,6.556510925292969e-08,9.209640946729854e-07,0.0,0.0,0.0,0.0
10_Labor Force_sft_3,-5.960464477539063e-08,3.264680847556389e-08,5.960464477539063e-09,4.458013046101369e-07,,,,,1.0132789611816406e-07,1.430511474609375e-07,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
10_Quick Ratio,1.3470649719238281e-05,3.699907613326864e-06,-2.950429916381836e-06,1.0765744013193532e-05,1.1402368545532227e-05,1.0518887478696934e-05,2.3549795150756837e-05,3.2900378510774454e-05,-1.5968084335327147e-05,1.0479547547718482e-05,1.8411874771118163e-05,2.6017413106566995e-05,1.728534698486328e-07,9.94772772090738e-07,-3.1059980392456056e-05,2.536036779412258e-05,0.00019794702529907227,3.212698094247187e-05,-3.7837028503417966e-05,8.038571661338483e-05,0.0,0.0,0.0,0.0
10_Quick Ratio_sft_1,1.2350082397460937e-05,5.187474110925976e-06,-3.0338764190673827e-06,5.486522563305095e-06,9.232759475708008e-06,1.2378083822630736e-05,-2.384185791015625e-05,5.26339118588998e-05,1.0842084884643555e-05,2.8207632232083746e-05,-4.180669784545898e-05,3.4135025850695795e-05,-8.541345596313477e-06,6.131971047317623e-06,0.00019692182540893556,0.0001607929089782655,9.816288948059083e-05,2.4062790045332938e-05,-8.13603401184082e-05,0.00014839727363697436,0.0,0.0,0.0,0.0
10_Quick Ratio_sft_2,5.173683166503906e-06,2.742759396358512e-06,3.838539123535157e-06,6.29356748133569e-06,,,,,-9.220838546752929e-06,8.019751241504796e-06,-1.990795135498047e-06,8.749312187004275e-06,3.5762786865234374e-08,6.420723442790618e-07,6.35385513305664e-06,4.518032073974609e-06,0.00016328096389770508,7.709329686894929e-05,0.00019765496253967285,0.00016407347885624333,0.0,0.0,0.0,0.0
10_Quick Ratio_sft_3,9.828805923461914e-06,5.04986788179743e-06,2.512335777282715e-05,6.4503958211316044e-06,,,,,2.8091669082641602e-05,1.744039035855554e-05,5.571246147155762e-05,3.573894500732422e-05,,,,,,,,,0.0,0.0,0.0,0.0
10_inventory to assets pct,1.0132789611816406e-05,3.7514483464166776e-06,1.0770559310913085e-05,7.934777529067053e-06,3.9190053939819336e-05,2.5949270759032066e-05,2.0271539688110353e-05,1.9834939191436194e-05,-3.2019615173339846e-05,5.233517467417065e-05,-1.627206802368164e-06,4.386577905220893e-06,-0.0003601789474487305,2.5208325705455534e-06,3.06248664855957e-05,6.016685342175097e-05,0.0001336991786956787,2.513902049813317e-05,2.276897430419922e-06,2.1239005965145307e-05,0.0,0.0,0.0,0.0
10_inventory to assets pct_sft_1,2.1457672119140625e-06,1.0974378967000227e-06,1.3470649719238282e-06,1.5922809393254662e-06,3.3795833587646486e-06,1.7300863947082e-05,3.649592399597168e-05,6.519953343232008e-05,1.2993812561035156e-05,5.960315464064433e-06,-1.0085105895996093e-05,1.5379384444112909e-06,-1.9431114196777345e-06,1.1371841447555371e-07,3.564357757568359e-06,2.5809292975987905e-06,0.0002698540687561035,9.068126227542042e-05,-0.00014187693595886232,0.0003594353110790247,0.0,0.0,0.0,0.0
