,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
huber_loss,0.149644166,0.116959907,0.099231176,0.142789528,0.098219708,0.135582715,0.137567773,0.132080868,0.159600079,0.139093503,0.157486275,0.127821222,0.143306628,0.126489267,0.159672678,0.14321132,0.155353412,0.118160114
loss,0.352421463,0.283340484,0.258741289,0.338764697,0.255175352,0.326802641,0.329626501,0.319276124,0.346800059,0.33121115,0.344129443,0.313598931,0.337660849,0.311875552,0.387147188,0.334384531,0.372547835,0.306010038
mean_absolute_error,0.352421463,0.283340484,0.258741289,0.338764697,0.255175352,0.326802641,0.329626501,0.319276124,0.346800059,0.33121115,0.344129443,0.313598931,0.337660849,0.311875552,0.387147188,0.334384531,0.372547835,0.306010038
mean_absolute_percentage_error,1104536.75,725504,1036821.625,1823639,1650529.125,2728165.75,962418,667693.1875,523779.875,1399580.875,700307.8125,207074.875,1760225,1226422.375,1767386.125,1732631.5,4135171,4283871
mean_directional_accuracy,0.502514243,0.523809552,0.554778576,0.580176771,0.627039611,0.5,0.493305564,0.446428567,0.427956998,0.497890294,0.473118275,0.488752544,0.654730082,0.69325155,0.667330682,0.525901496,0.539840639,0.476293117
mean_squared_error,0.357670724,0.271591276,0.242770329,0.340737075,0.240502343,0.309558898,0.328998715,0.30035457,0.390397996,0.330405623,0.385170043,0.309209526,0.341519356,0.304746896,0.36345908,0.34203583,0.353740007,0.280716479
mean_squared_logarithmic_error,0.062962115,0.063663751,0.039891161,0.058382209,0.036064122,0.040722195,0.05942709,0.041246407,0.059670135,0.056318887,0.057435434,0.051828224,0.056933627,0.051292654,0.073558465,0.049580526,0.06599313,0.034081388
true_direction_pos,0.524639606,0.548872173,0.524475515,0.526830792,0.524475515,0.462053567,0.521570981,0.462053567,0.511827946,0.507173002,0.511827946,0.501022518,0.504543006,0.501022518,0.565737069,0.498984247,0.565737069,0.480603456
