,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
10_Labor Force,-8.225440979003906e-06,2.9793082235309443e-06,6.090551614761353e-05,3.657935538382138e-05,5.026459693908691e-05,7.43955191700395e-05,9.296834468841552e-06,9.039022288808765e-05,1.6123056411743164e-06,1.3409190579515684e-06,-2.0861625671386717e-08,1.3676636106471737e-07,-5.650520324707031e-06,5.561467907633484e-07,1.928210258483887e-06,1.491236265689775e-06,-9.700655937194824e-06,1.2436459497457403e-05,2.2020936012268066e-05,1.3698170408075585e-05,1.405477523803711e-05,2.0648879251312355e-05,-1.043081283569336e-07,8.259061849445711e-07
10_Labor Force_sft_1,,,,,,,,,9.676814079284668e-06,6.140519567599844e-06,5.3644180297851564e-08,4.76837158203125e-08,,,,,,,,,1.2224912643432617e-05,4.064534210786449e-06,6.103515625e-06,4.16841280956945e-06
10_Labor Force_sft_2,,,,,,,,,1.0910630226135255e-05,9.323481158503815e-06,2.1216273307800292e-05,1.8534891637516227e-05,,,,,,,,,9.626150131225585e-07,1.4043377990381589e-06,-8.976459503173828e-06,1.4526178996510987e-06
11_FIFO/LIFO dummy,-9.328126907348633e-06,7.672468841170153e-06,-3.909468650817871e-05,6.0946695699606704e-05,0.0001377880573272705,6.908624604187803e-05,0.00010695606470108032,8.163819079653487e-05,0.25092263519763947,0.0049681348845114146,0.2147059828042984,0.00882971347309383,0.00013369321823120117,7.790338416171553e-05,0.00033412277698516844,0.00027192173720497285,0.00022169947624206543,0.00016104314704199553,8.99389386177063e-05,8.219092532188304e-05,0.024484309554100036,0.0005195263780638288,0.019860032200813293,0.0010515920434230437
11_FIFO/LIFO dummy_sft_1,,,,,,,,,0.11648390591144561,0.0013033649342035997,0.10068150460720063,0.003553771256859402,,,,,,,,,0.02316058278083801,0.0005886551970143833,0.019315889477729796,0.0008161264781736221
11_FIFO/LIFO dummy_sft_2,,,,,,,,,0.12838392555713654,0.0014886182497966262,0.10904724299907684,0.004140143443654544,,,,,,,,,0.00515792965888977,0.00020739333976072384,0.003073868155479431,0.0005498030039860137
1_Inventory,0.0006934463977813721,0.0004030575714362695,0.012678129971027375,5.37451367791366e-05,0.00039961040019989016,0.00014489913620539748,-3.704279661178589e-05,7.928473082031775e-05,5.18798828125e-05,1.7451937180540776e-05,0.00045795142650604246,0.0001430048316865375,0.00022346973419189452,4.506851155551304e-05,-1.9073486328125e-06,8.501856180643827e-06,0.0003674060106277466,2.366259243255671e-05,4.142820835113525e-05,2.9252952109816522e-05,1.794695854187012e-05,1.7417823457482773e-05,1.3196468353271485e-05,8.369437723655224e-06
1_Inventory_sft_1,,,,,,,,,0.015965735912322997,4.7424189993425376e-05,0.00035674870014190674,0.0001457003605335174,,,,,,,,,0.0001971393823623657,3.0007640674932742e-05,1.0049343109130859e-05,8.503755210710852e-06
1_Inventory_sft_2,,,,,,,,,0.00022990107536315917,5.1696179643690786e-05,4.419684410095215e-06,6.360108865735064e-06,,,,,,,,,6.540417671203613e-05,1.9856944115909083e-05,0.0001245766878128052,0.0001576390661882685
3_CAPX,6.21110200881958e-05,3.7313460244184506e-05,2.0252168178558348e-05,1.5744403181491896e-05,6.43610954284668e-05,1.8637997863209476e-05,0.00045026689767837527,4.968217501303843e-05,0.0003666907548904419,9.86465604605146e-06,-7.30752944946289e-06,6.570507141871564e-06,7.562637329101562e-05,3.6781969545218916e-05,3.311038017272949e-06,2.3464555292734322e-06,-4.921555519104004e-05,3.0199579273469958e-05,1.8978118896484374e-05,2.4209011563291704e-05,0.0002050638198852539,5.810157053705164e-05,1.284480094909668e-06,1.482434260718225e-05
