,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
10_Labor Force,1.5109777450561524e-06,3.6559275484564127e-06,-6.033331155776978e-05,4.584151181315655e-05,5.006790161132813e-07,5.42909652116891e-07,-1.1324882507324218e-07,2.9410075722870336e-07,-9.65207815170288e-05,3.896633149507023e-05,-0.00012524127960205077,8.777349278566477e-05,7.659196853637695e-07,6.331886166643926e-06,-3.93986701965332e-06,1.9074557319017326e-06,3.8444995880126954e-07,1.75150457083167e-07,-1.831352710723877e-06,1.0306757376624519e-06,-2.682209014892578e-05,1.407190745107305e-05,6.017088890075684e-06,5.12333026965823e-05
11_FIFO/LIFO dummy,4.789233207702636e-06,8.032002891017141e-06,2.53826379776001e-05,3.8061694907074504e-05,2.275407314300537e-05,1.7032946320264052e-05,4.837960004806518e-05,5.03848068864107e-05,2.2092461585998534e-05,9.646398105996549e-06,-9.850263595581054e-05,1.646787885775157e-05,1.1220574378967285e-05,6.426067671651446e-06,-4.5806169509887695e-05,3.5032890466713745e-05,9.09864902496338e-06,4.991222628910484e-06,6.261467933654785e-06,1.2745014302992873e-05,7.420778274536132e-07,3.0804704569393517e-07,4.1425228118896485e-07,2.468136146263424e-06
1_Inventory,0.008325982093811034,0.00044359839103224,0.10212840884923935,0.0002532394327464016,0.0002263873815536499,6.477071923745676e-05,8.018314838409424e-06,5.192968945568651e-06,0.0002538204193115234,3.1563223880055265e-05,-5.552172660827637e-06,5.1513863824197475e-06,0.004123955965042114,8.193400304913284e-05,-4.069209098815918e-05,1.4322694764556276e-05,0.00589158833026886,0.00010352143618857354,-2.710670232772827e-05,5.364305905653817e-05,0.006450378894805908,7.218174199356891e-05,0.003730282187461853,0.00021737669963113997
3_CAPX,-0.00035379230976104734,0.0004601124137925358,-3.027021884918213e-05,0.0003038632157446168,7.149279117584229e-05,1.656797225270964e-05,0.00039366036653518675,0.00014488919360075415,-1.1920928955078125e-07,1.5798042155144898e-07,9.056925773620605e-06,4.936648329764093e-06,-2.592802047729492e-07,5.200996245950099e-07,0.0,1.884864366154897e-08,-1.4007091522216797e-06,2.438715136327736e-06,-6.705522537231445e-08,2.4934411839666234e-08,4.9591064453125e-05,2.7288665375767342e-05,9.253621101379395e-05,0.00011023500493176549
4_RnD,6.133317947387695e-05,1.1811247294735848e-05,0.0,0.0,5.7369470596313477e-05,1.3130918124879222e-05,0.0,0.0,4.021525382995606e-05,2.6983211628113568e-05,0.0,0.0,-1.3321638107299806e-06,2.659088729639519e-06,0.0,0.0,-1.043081283569336e-07,2.0988961293290865e-07,0.0,0.0,-6.556510925292969e-08,2.5681925443185e-07,0.0,0.0
5_Gross Margin,0.0013752609491348266,4.867332354030327e-05,0.016187329590320588,0.0001819583474147816,0.011490276455879212,0.00015554459454890677,0.0007134705781936645,6.827164684452582e-05,0.015602713823318482,0.0024840144936537894,0.019635513424873352,0.0007480320902321305,0.004342684149742126,5.4174566710839395e-05,-8.26120376586914e-06,6.566874390079965e-05,0.01461297869682312,0.0001622549727475204,0.00027672797441482546,0.00010817948492857705,0.004169937968254089,6.778387209058452e-05,0.0021890640258789063,0.00015288816922320048
6_Sales & Admin. Exp.,8.39829444885254e-06,1.0285768054668599e-05,1.4901161193847657e-09,2.980232238769532e-09,-5.960464477539063e-09,9.866324280051499e-08,0.0,0.0,-1.7881393432617187e-08,5.960464477539064e-09,1.4901161193847656e-08,1.3328003749250112e-08,2.9802322387695314e-09,5.960464477539064e-09,0.0,0.0,0.005867141485214234,5.752094849057503e-05,6.832927465438843e-05,5.624377965184536e-05,0.010893738269805909,7.670738853029918e-05,0.005472159385681153,0.0002066178851708883
9_Order Backlog,0.006896543502807617,3.498296762439073e-05,0.08429488688707351,0.00031443295854024334,0.01134358048439026,0.0011229321793304607,0.0001710548996925354,0.00013931171289979544,0.01668919324874878,8.140987298427033e-05,0.02033616304397583,0.00010288957398081611,9.890496730804443e-05,3.3259371222127346e-05,0.00018904805183410643,0.00010172595757713375,0.015241473913192749,0.0001595600373437075,6.334781646728515e-05,3.814025274661287e-05,0.0004130154848098755,3.716641758177789e-05,9.785592555999756e-05,0.00010140695494233872
columns,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std
time_step,200000_201500,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000,200500_202000
