,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
1_Inventory,0.039970977,0.408502496,0.597580147,0.045874375,0.374407969,0,0.095523251,0,0,0.899903987,0,0.999989004,0.558705965,0.999991107,0.999982213,0.972352783,0,0.98897087
3_CAPX,7.20E-05,0.983769204,0.952981571,0.002785237,0.951173437,0.955796833,0.964811961,0.999166639,0.999854842,0.922093117,0.996583093,0.998552314,0.360791723,0.997564197,0.995148735,0.764509813,0.998353147,0.999079408
4_RnD,0.632089132,0.696769775,0,0.948235746,0.032299122,0,0.909236698,0.346757554,0.999455179,0.993024597,0.999917893,0.999886173,0.994075375,0.999982526,0.999974165,4.03E-09,0.979024095,0.92261135
5_Gross Margin,0.602148739,1,1,0.968644092,1,1,0.535121361,1,1,0.999323278,1,1,0.991241531,1,1,0.266780153,1,0.999999995
6_Sales & Admin. Exp.,6.83E-13,0.744130782,0.852659057,0.847867913,0.994574977,0.975147098,0,0.009940701,0.79589126,0.002827654,0.289761466,0.41243205,0.119714775,0.988211437,0.769656166,5.56E-05,0.438420234,0.966805094
9_Order Backlog,0.584190746,0.99999997,0.999999992,0.999998803,0.999999956,0.999999964,0.942250817,0.997793546,0.998766456,0.990121644,0.996999033,0.994825218,0.942447286,0.995938899,0.998220599,0.936537726,0.998021325,0.906832779
10_Labor Force,0,0,0.414293158,0,0.834468394,0.000519456,0,0,0,0.621539204,0.020674876,0.988049393,8.72E-11,0.986515652,0.259595461,0.009722863,0.645510715,0.989661074
11_FIFO/LIFO dummy,0.251124949,0.137848441,0.962310711,0.936686057,0.997668659,0.992821617,0.979080171,0.99703419,0.999606022,0.990415672,0.997471913,0.981048773,0.983897043,0.994213637,0.993389924,0.428296124,0.752543505,0.71667155
y_eps pct,0.403713723,0.76123413,0.813890318,0.3046183,0.692730942,0.754998323,0.201570355,0.624466206,0.873455421,0.484830011,0.222278317,0.175488981,0.720656714,0.900776603,0.90739404,0.092048724,0.577621708,0.50933392
