,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
huber_loss,0.15146805346012115,0.11515063047409058,0.1294603794813156,0.14125299453735352,0.09810198843479156,0.13155344128608704,0.13485479354858398,0.130606010556221,0.16354238986968994,0.1420644223690033,0.15284307301044464,0.12831735610961914,0.14275754988193512,0.12879136204719543,0.15586483478546143,0.13130083680152893,0.1515364646911621,0.11580997705459595
loss,0.3625735342502594,0.2890188992023468,0.29875996708869934,0.34113365411758423,0.2643839418888092,0.3289984166622162,0.3272426724433899,0.32023853063583374,0.352774441242218,0.33342790603637695,0.3420032262802124,0.3174341320991516,0.33679452538490295,0.31720051169395447,0.38345497846603394,0.3157130479812622,0.3756712079048157,0.30230745673179626
mean_absolute_error,0.3625735342502594,0.2890188992023468,0.29875996708869934,0.34113365411758423,0.2643839418888092,0.3289984166622162,0.3272426724433899,0.32023853063583374,0.352774441242218,0.33342790603637695,0.3420032262802124,0.3174341320991516,0.33679452538490295,0.31720051169395447,0.38345497846603394,0.3157130479812622,0.3756712079048157,0.30230745673179626
mean_absolute_percentage_error,4897690.0,6735403.5,34656992.0,6971195.5,8043151.0,7825513.5,3225045.5,3114789.5,4285888.5,8624882.0,3038791.25,5489765.5,2650781.5,2359877.0,3039856.75,7776544.0,11338552.0,11756714.0
mean_directional_accuracy,0.6475025415420532,0.7005012631416321,0.6655011773109436,0.6578282713890076,0.6526806354522705,0.5669642686843872,0.5499851107597351,0.484375,0.5419355034828186,0.7122362852096558,0.6774193644523621,0.6687116622924805,0.6569570899009705,0.6571233868598938,0.6965471506118774,0.6914677619934082,0.6872509717941284,0.5840517282485962
mean_squared_error,0.36207184195518494,0.2643416225910187,0.8505167365074158,0.3377714455127716,0.24047009646892548,0.29962262511253357,0.3228428065776825,0.2969522476196289,0.41797107458114624,0.37968361377716064,0.3706439137458801,0.31041207909584045,0.34152689576148987,0.31237584352493286,0.353464812040329,0.3135724365711212,0.3435503840446472,0.2752862572669983
mean_squared_logarithmic_error,0.06383910030126572,0.059645168483257294,0.052942968904972076,0.06020789593458176,0.037500422447919846,0.038837116211652756,0.05598713457584381,0.03946444392204285,0.05880255997180939,0.057857174426317215,0.05236024409532547,0.05184180662035942,0.05529870465397835,0.05160254240036011,0.0727454423904419,0.04828118905425072,0.06621649861335754,0.03420402482151985
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
true_direction_pos,0.5246396064758301,0.548872172832489,0.5244755148887634,0.526830792427063,0.5244755148887634,0.4620535671710968,0.5215709805488586,0.4620535671710968,0.5118279457092285,0.5071730017662048,0.5118279457092285,0.5010225176811218,0.5045430064201355,0.5010225176811218,0.5657370686531067,0.4989842474460602,0.5657370686531067,0.4806034564971924
