,200000_201500,200100_201600,200200_201700,200300_201800,200400_201900,200500_202000
activation_func,relu,tanh,relu,linear,sigmoid,elu
backlooking_window,2,1,2,1,3,1
dataset_cols_X_exclude,[],[],[],[],[],[]
dataset_cols_X_just_these,False,False,False,False,False,False
dataset_cols_y,['y_eps pct'],['y_eps pct'],['y_eps pct'],['y_eps pct'],['y_eps pct'],['y_eps pct']
dataset_hash_first,7a525151d6,7a525151d6,7a525151d6,7a525151d6,7a525151d6,7a525151d6
dataset_hash_input,653856571451039602,653856571451039602,653856571451039602,653856571451039602,653856571451039602,653856571451039602
dataset_hash_second,150acdaef4,150acdaef4,150acdaef4,150acdaef4,150acdaef4,150acdaef4
dataset_iter_step,200000_201500,200100_201600,200200_201700,200300_201800,200400_201900,200500_202000
dataset_normalization,no,no,no,no,no,no
dataset_split_method,block_rolling,block_rolling,block_rolling,block_rolling,block_rolling,block_rolling
dataset_split_steps_test,1,1,1,1,1,1
dataset_split_steps_train,10,10,10,10,10,10
dataset_split_steps_val,1,1,1,1,1,1
dataset_window_backlooking,4,4,4,4,4,4
dataset_window_prediction,1,1,1,1,1,1
dataset_window_shift,1,1,1,1,1,1
first_layer_nodes,128,16,128,128,128,64
last_layer_nodes,64,8,8,16,16,64
model_id,27606acccf27443cbe1ba10ec6911853,a9a1dc968b2244e1939c30454f3dd3f5,25bbe348d78e47ad93dee07e28bd3a20,03509942d09a4fe392a4e06e6142a634,74d4de86743f45f8bcc58feace1d9092,d453cc6ccfe048318ada7ea162c9eda4
model_name,210827224749_lstm_all_w2_l7_arelu,210827234855_lstm_all_w1_l5_atanh,210828004904_lstm_all_w2_l5_arelu,210828063153_lstm_all_w1_l9_alinear,210828074656_lstm_all_w3_l3_asigmoid,210828095149_lstm_all_w1_l7_aelu
n_layers,7,5,5,9,3,7
path_saved_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/1/27606acccf27443cbe1ba10ec6911853/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/1/a9a1dc968b2244e1939c30454f3dd3f5/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/1/25bbe348d78e47ad93dee07e28bd3a20/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/1/03509942d09a4fe392a4e06e6142a634/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/1/74d4de86743f45f8bcc58feace1d9092/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/1/d453cc6ccfe048318ada7ea162c9eda4/artifacts/tf_model
run_id,20210827223111,20210827232557,20210828003339,20210828012303,20210828074655,20210828093022
status,ok,ok,ok,ok,ok,ok
val_loss,0.2890188992023468,0.2643839418888092,0.32023853063583374,0.3420032262802124,0.31720051169395447,0.3756712079048157
