,200000_201500,200100_201600,200200_201700,200300_201800,200400_201900,200500_202000
activation_func,sigmoid,tanh,relu,relu,sigmoid,sigmoid
backlooking_window,4,2,4,3,3,4
dataset_cols_X_exclude,[],[],[],[],[],[]
dataset_cols_X_just_these,False,False,False,False,False,False
dataset_cols_y,['y_eps pct'],['y_eps pct'],['y_eps pct'],['y_eps pct'],['y_eps pct'],['y_eps pct']
dataset_hash_first,7a525151d6,7a525151d6,7a525151d6,7a525151d6,7a525151d6,7a525151d6
dataset_hash_input,653856571451039602,653856571451039602,653856571451039602,653856571451039602,653856571451039602,653856571451039602
dataset_hash_second,150acdaef4,150acdaef4,150acdaef4,150acdaef4,150acdaef4,150acdaef4
dataset_iter_step,200000_201500,200100_201600,200200_201700,200300_201800,200400_201900,200500_202000
dataset_normalization,no,no,no,no,no,no
dataset_split_method,block_rolling,block_rolling,block_rolling,block_rolling,block_rolling,block_rolling
dataset_split_steps_test,1,1,1,1,1,1
dataset_split_steps_train,10,10,10,10,10,10
dataset_split_steps_val,1,1,1,1,1,1
dataset_window_backlooking,4,4,4,4,4,4
dataset_window_prediction,1,1,1,1,1,1
dataset_window_shift,1,1,1,1,1,1
first_layer_nodes,32,32,64,8,128,32
last_layer_nodes,32,64,4,4,64,4
model_id,6a6c3ad488ed42818378320ab1dec4ce,73cc6d1e84da40af846607eb760704a9,820a491ac3f74bd297a4b4fdcfc42520,2ce4eb7295574b6f845b0055f673d054,7e458481147140a28a67ebed929c52a8,d89cb20a8e2248429e7845d8d293efca
model_name,210828143454_dense_all_best_w4_l7_asigmoid,210828151559_dense_all_best_w2_l9_atanh,210828153637_dense_all_best_w4_l5_arelu,210828163550_dense_all_best_w3_l6_arelu,210828164120_dense_all_best_w3_l4_asigmoid,210828172229_dense_all_best_w4_l8_asigmoid
n_layers,7,9,5,6,4,8
path_saved_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/5/6a6c3ad488ed42818378320ab1dec4ce/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/5/73cc6d1e84da40af846607eb760704a9/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/5/820a491ac3f74bd297a4b4fdcfc42520/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/5/2ce4eb7295574b6f845b0055f673d054/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/5/7e458481147140a28a67ebed929c52a8/artifacts/tf_model,file:///Users/vanalmsick/Workspace/MasterThesis/cache/MLflow/5/d89cb20a8e2248429e7845d8d293efca/artifacts/tf_model
run_id,20210828143445,20210828145429,20210828153132,20210828155447,20210828163752,20210828171442
status,ok,ok,ok,ok,ok,ok
val_loss,0.2912713885307312,0.26473525166511536,0.32084083557128906,0.34798526763916016,0.3137400448322296,0.38712817430496216
