,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
huber_loss,0.153654382,0.123712651,0.122125871,0.148990095,0.10174568,0.150476813,0.147634238,0.132582337,0.23034744,0.230051801,0.158493504,0.130533665,0.143927246,0.128266901,0.156503528,0.148020893,0.155210584,0.110553786
loss,0.365797877,0.297369152,0.288174629,0.354697108,0.267401814,0.346554488,0.347737342,0.328089297,0.422868401,0.43302089,0.35259977,0.325600356,0.342732668,0.31758076,0.389511615,0.346872777,0.386817247,0.289552569
mean_absolute_error,0.365797877,0.297369152,0.288174629,0.354697108,0.267401814,0.346554488,0.347737342,0.328089297,0.422868401,0.43302089,0.35259977,0.325600356,0.342732668,0.31758076,0.389511615,0.346872777,0.386817247,0.289552569
mean_absolute_percentage_error,5479969,12932929,4376195.5,5537357,4026357.5,21666986,7837180.5,5257959,3321150.25,50456268,3763614.25,2906194.5,1646158.75,1500125.75,1756647.125,5398920,3733464.75,4697947.5
mean_directional_accuracy,0.674823999,0.704260647,0.722610712,0.675505042,0.729603708,0.622767866,0.678369522,0.618303597,0.688172042,0.66554147,0.683870971,0.674846649,0.674238384,0.697341502,0.72709161,0.650330126,0.667330682,0.618534505
mean_squared_error,0.36883235,0.300150394,0.473023713,0.368009925,0.24866879,0.436861664,0.4022865,0.298624247,2.907156706,10.72426224,0.387556225,0.315346628,0.343394011,0.308762491,0.355763763,0.359519422,0.355986983,0.260326356
mean_squared_logarithmic_error,0.06555663,0.069137923,0.039451785,0.065135442,0.039354652,0.051544506,0.061619014,0.039587252,0.060072992,0.078253791,0.059162945,0.055209935,0.05988102,0.054341767,0.076931104,0.059082281,0.072175674,0.03399799
true_direction_pos,0.524639606,0.548872173,0.524475515,0.526830792,0.524475515,0.462053567,0.521570981,0.462053567,0.511827946,0.507173002,0.511827946,0.501022518,0.504543006,0.501022518,0.565737069,0.498984247,0.565737069,0.480603456
