,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
time_step,200000_201500,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000,200500_202000
columns,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std
1_Inventory,0.00365482,0.000228123,0.042555219,0.000941378,0.006041151,0.000377285,-0.000184137,6.85E-05,-4.76E-05,3.67E-05,-2.05E-06,1.10E-06,-0.00024817,0.000105297,2.09E-06,5.04E-06,0.000675297,0.000105255,-7.56E-06,4.68E-06,-1.97E-05,3.07E-05,-5.79E-05,6.97E-05
3_CAPX,8.65E-05,7.86E-05,-0.00021531,0.000341664,1.32E-05,3.38E-06,-0.000316435,0.000436846,1.13E-05,1.62E-05,-0.000984067,0.001044038,1.06E-05,7.13E-06,-8.94E-08,1.65E-07,1.94E-06,8.15E-07,-2.38E-08,4.38E-08,-0.000207514,0.000262876,-4.04E-06,2.26E-05
4_RnD,-6.69E-05,9.10E-05,0,0,7.25E-06,8.63E-06,0,0,-1.83E-05,9.49E-05,0,0,1.42E-06,5.02E-07,0,0,1.31E-06,1.30E-06,0,0,-0.000157458,0.000139488,0,0
5_Gross Margin,0.025317621,0.000334312,0.308692843,0.001906656,0.001654726,3.83E-05,-6.91E-06,2.82E-05,0.098151112,0.000980881,0.11929093,0.003298328,0.004975957,0.000635447,-5.12E-05,0.001760877,0.001683599,9.51E-05,-9.14E-06,1.58E-05,0.00059166,0.000760242,0.000696653,0.000872005
6_Sales & Admin. Exp.,0.000215101,1.57E-05,2.98E-08,0,-5.96E-09,1.19E-08,0,0,-4.87E-05,5.37E-05,-0.000325263,0.000341595,0.000531876,0.000126723,3.54E-06,4.07E-06,0.000204355,0.000127022,1.30E-05,4.60E-06,0.000264323,0.000148661,0.000106889,8.21E-05
9_Order Backlog,0.029419303,0.000668523,0.351502436,0.001024178,0.006359315,0.000388485,0.000488251,0.000217112,0.098923212,0.000848875,0.116044891,0.00029551,0.004643542,0.00030896,0.005555099,0.000870005,0.004186052,6.13E-05,2.41E-05,2.06E-05,0.001560402,0.000221502,-0.00014466,0.000406019
10_Labor Force,-0.000277597,8.35E-05,0.003086424,0.000684982,7.95E-06,2.09E-05,-1.45E-06,4.78E-06,-1.06E-05,3.17E-06,-1.81E-06,6.52E-06,5.18E-06,7.84E-06,7.80E-06,3.84E-06,1.28E-06,2.94E-06,7.27E-07,7.84E-06,-2.48E-05,0.000143364,-7.73E-05,0.00032595
11_FIFO/LIFO dummy,0.000352776,0.000130042,0.000717503,0.000104539,0.000320333,0.000133039,0.001324171,0.000588505,0.000769097,0.00024904,-0.000534803,0.000285472,0.001162761,0.000533048,0.000280058,0.001384368,9.73E-05,4.58E-05,-4.38E-05,6.52E-05,0.000295055,0.000263271,-0.000464195,0.000642373
y_eps pct,0.006308943,0.000325925,0.005249554,0.001682728,0.006990004,0.000966936,0.006680018,0.00290298,0.006010836,0.000770648,0.002602923,0.001155741,-0.000134248,3.15E-05,-0.000150388,4.07E-05,0.004706103,0.000740861,0.007443988,0.001071843,0.015151137,0.00100589,0.017458135,0.003960037
