,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
huber_loss,0.1476394236087799,0.11528085917234421,0.10301501303911209,0.1432756632566452,0.09881194680929184,0.13466663658618927,0.13706636428833008,0.13165219128131866,0.16177013516426086,0.13714838027954102,0.15633276104927063,0.1274411827325821,0.14310891926288605,0.12660503387451172,0.15763457119464874,0.1433391273021698,0.15265929698944092,0.11375945061445236
loss,0.3472418189048767,0.2814194858074188,0.2627882957458496,0.3401438295841217,0.25728490948677063,0.32541540265083313,0.33126673102378845,0.31966733932495117,0.352893590927124,0.32837408781051636,0.34178271889686584,0.313803106546402,0.33648064732551575,0.3119070827960968,0.38459858298301697,0.3361755907535553,0.3736611306667328,0.29738298058509827
mean_absolute_error,0.3472418189048767,0.2814194858074188,0.2627882957458496,0.3401438295841217,0.25728490948677063,0.32541540265083313,0.33126673102378845,0.31966733932495117,0.352893590927124,0.32837408781051636,0.34178271889686584,0.313803106546402,0.33648064732551575,0.3119070827960968,0.38459858298301697,0.3361755907535553,0.3736611306667328,0.29738298058509827
mean_absolute_percentage_error,1517182.875,737752.5625,2105875.75,1362988.625,2292764.25,2537217.25,1555925.5,2206236.0,3137525.25,1173722.625,866888.0625,866111.25,1246815.125,1182030.375,1916539.0,2364541.25,3114025.75,2505570.75
mean_directional_accuracy,0.5653704404830933,0.5952380895614624,0.5722610950469971,0.6748737096786499,0.7086247205734253,0.625,0.6984528303146362,0.6428571343421936,0.6602150797843933,0.6714486479759216,0.6709677577018738,0.6891615390777588,0.6635488867759705,0.7096114754676819,0.7051792740821838,0.6616302728652954,0.68824702501297,0.6082974076271057
mean_squared_error,0.3531644642353058,0.2688544690608978,0.2549792528152466,0.3397957682609558,0.24192669987678528,0.30555233359336853,0.3281015455722809,0.2991555631160736,0.3953288495540619,0.3249076008796692,0.3834921419620514,0.3071064352989197,0.34071990847587585,0.30518537759780884,0.35846737027168274,0.34272244572639465,0.3463773727416992,0.268692284822464
mean_squared_logarithmic_error,0.05550237372517586,0.0589907169342041,0.03931921720504761,0.06161435320973396,0.038721583783626556,0.04109018296003342,0.0603259801864624,0.040748484432697296,0.05956413969397545,0.055110394954681396,0.05616765841841698,0.051163189113140106,0.056878287345170975,0.05116703361272812,0.0732252299785614,0.05118437483906746,0.06532271206378937,0.033061809837818146
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
true_direction_pos,0.5246396064758301,0.548872172832489,0.5244755148887634,0.526830792427063,0.5244755148887634,0.4620535671710968,0.5215709805488586,0.4620535671710968,0.5118279457092285,0.5071730017662048,0.5118279457092285,0.5010225176811218,0.5045430064201355,0.5010225176811218,0.5657370686531067,0.4989842474460602,0.5657370686531067,0.4806034564971924
